Feature,Count
shop,2.6500406
tin,2.6457508
flesh,2.6427228
specie,2.6388245
front,2.6380537
karate,2.6368923
flint,2.6351671
tear,2.634602
war ii,2.6313837
si,2.6307006
youre,2.629426
stuck,2.6271596
rouge,2.6249666
height,2.6216908
playing,2.6190622
lovely,2.6158538
lonely,2.615693
crush,2.6128361
insidious,2.6121902
patriot,2.6106071
silver,2.6084728
funeral,2.607647
magnificent,2.6075299
effect,2.606252
rookie,2.6055975
sword,2.601585
forgotten,2.6015286
disturbing,2.6011205
unforgiven,2.6008046
far,2.599934
hush,2.5994534
baseball,2.5981667
crimson,2.5934782
shrek,2.591867
walker,2.5911157
work,2.5907574
pregnancy,2.5884264
dickens,2.585897
ninja turtle,2.576347
teenage mutant,2.576347
mutant ninja,2.576347
full,2.5762784
awakening,2.573482
bodyguard,2.573482
peter pan,2.5711088
minute,2.570384
united,2.570231
gojira,2.5701835
lee,2.5668907
signal,2.5667114
left,2.5639641
hunted,2.5622082
misrables,2.5619123
misrables le,2.5619123
snowman,2.5608408
order,2.5589142
thunder,2.5556169
oblivion,2.555039
look,2.5492449
beowulf,2.5481982
rec,2.5481982
terrace,2.5481982
focus,2.5481982
ji,2.5468955
bloodsport,2.5461392
casino,2.5455115
apple,2.5426686
smoke,2.538769
tail,2.5385168
bank,2.5369873
mary,2.5362635
miami,2.5355763
squad,2.5351803
notorious,2.5321274
al,2.5278766
proof,2.524713
nobody,2.5221863
shi,2.5185738
femme,2.5172896
terminal,2.5132885
center,2.5117087
paul,2.5069861
college,2.5030143
hannibal,2.494709
harry potter,2.4897795
blindness,2.4877355
brooklyn,2.4834628
doa,2.4825366
stage,2.4801083
violence,2.4799194
panda,2.472001
election,2.4709764
haunting,2.4625006
wait,2.459921
holy,2.4592123
martin,2.4573915
abyss,2.4559388
kicking,2.4501662
vengeance,2.4484665
rider,2.4462607
ordinary,2.444851
grass,2.443614
de la,2.442959
kevin,2.4397135
chance,2.4388757
san,2.4380357
mean,2.4341297
porkys,2.433817
jungle book,2.433607
spiral,2.4327435
shame,2.432651
carnosaur,2.4325829
heartwarming,2.4309812
half,2.42819
dust,2.4279516
classic,2.4271414
titanic,2.427086
ted,2.4259953
passenger,2.4241786
mission impossible,2.4174552
conspiracy,2.415275
king arthur,2.4118385
said,2.40557
may,2.402274
tide,2.4016294
hulk,2.3976607
contact,2.3965943
fight,2.3915799
hidden,2.3898997
bounty,2.3880572
crossing,2.385024
snake,2.3831928
bloody,2.3815966
galaxy,2.3812988
hitman,2.3789103
blonde,2.3781643
bible,2.3778257
help,2.3750162
punisher,2.3745823
hellraiser,2.3724327
resident evil,2.3723328
resident,2.3723328
enchanted,2.370664
dead man,2.3671875
jr,2.3663576
wave,2.3606
satire,2.3598537
metal,2.3568401
lethal weapon,2.3566182
view,2.3545444
connection,2.353983
field,2.3525121
ten,2.351647
lose,2.3502896
care,2.3499987
persuasion,2.349378
buck,2.3488767
mindfuck,2.3486812
butterfly,2.3479834
thirteen,2.3471408
solomon,2.3462048
september,2.345748
atomic,2.34125
charlotte,2.3405757
bruce,2.3384354
savage,2.3371153
williams,2.336671
france,2.3339097
less,2.3338223
joy,2.3318803
tremor,2.3273866
dreamlike,2.3257303
cave,2.3229012
visit,2.320819
monty,2.3197455
social,2.3179977
den,2.3149977
baxter,2.3147151
paranormal activity,2.309401
activity,2.309401
paranormal,2.309401
hollow,2.30797
louis ck,2.307597
ck,2.307597
fan,2.306395
watson,2.3048148
groove,2.3030856
grande,2.3019814
always,2.3017642
dead alive,2.2992983
search,2.2941747
en,2.293966
ruby,2.2936513
bus,2.2931514
alpha,2.2925096
killed,2.2918646
asterix,2.2875235
hit,2.2867532
gambling,2.2855048
purple,2.2827792
scream,2.2805235
salvation,2.2792401
dalmatian,2.27875
dozen,2.278333
actress,2.2759047
universe,2.273439
jackson,2.2703276
th part,2.269027
omen,2.2686572
thor,2.2685957
dave chappelle,2.2660918
chappelle,2.2660918
martial,2.2643976
martial art,2.2643976
raid,2.2633777
con,2.2603018
gothic,2.2560441
astaire rogers,2.250172
astaire,2.250172
fox,2.2497606
french,2.2491589
conan,2.2460165
confession,2.2448583
simon,2.242856
ed,2.2425137
within,2.2419143
une,2.2413564
talking,2.2401834
steal,2.2401571
ant,2.2386312
hatchet,2.236864
ruin,2.2356486
next door,2.2338629
yes,2.2332692
ass,2.2317195
charles,2.2315385
motherhood,2.2306685
chi,2.2304878
resurrection,2.2262337
pit,2.2216368
basketball,2.2207973
hound,2.219812
bittersweet,2.2195494
tell,2.2182853
ringer,2.2173035
small,2.2151976
bos,2.2140343
move,2.2134035
last night,2.2119672
western,2.2098148
howard,2.208611
shining,2.2071013
rent,2.205514
black comedy,2.2031662
along,2.2023072
jane austen,2.1991384
closer,2.1969526
three musketeer,2.1966014
infinity,2.1951308
box,2.1928744
outer,2.1925888
outer space,2.1925888
sorority,2.1925766
guard,2.1911664
sinbad,2.1911309
benji,2.1893678
intelligence,2.187262
reign,2.1851285
versus,2.1834686
modern,2.1826448
jane eyre,2.1824417
eyre,2.1824417
enough,2.1823099
indian,2.181582
movie,2.1811452
fist,2.1804698
lagoon,2.1796832
past,2.1791008
nora,2.1788452
think,2.1763244
bounce,2.1732512
romeo,2.1703224
moonlight,2.1672752
ireland,2.165844
life death,2.1650069
tree,2.163232
mermaid,2.1630082
whatever,2.1626196
jurassic,2.162391
reunion,2.1611812
identity,2.1609674
murderer,2.1601522
fred,2.1599016
basic,2.1592658
noise,2.159197
chainsaw massacre,2.1585975
across,2.1581466
juliet,2.157174
ali,2.1555045
male,2.1554613
karate kid,2.1533427
nerd,2.152506
honeymoon,2.1519976
moving,2.151095
female,2.1499603
autumn,2.149868
carnival,2.1488385
interview,2.146729
jazz,2.1456637
revelation,2.1452925
say,2.1433501
amnesia,2.142911
treasure island,2.1420214
ray,2.1418777
bill burr,2.1345966
burr,2.1345966
fright,2.132945
men drag,2.1326404
clown,2.132592
shallow,2.1325533
terrorism,2.127241
boot,2.1253166
late,2.125299
time machine,2.1251407
cigarette,2.1244164
jury,2.1243575
mist,2.1231055
rambo,2.1218235
belle,2.1213489
vincent,2.1209185
vice,2.118582
snatcher,2.116926
body snatcher,2.116926
pearl,2.1154165
promise,2.1141686
need,2.1115248
anti,2.1108494
glass,2.110783
pride prejudice,2.1083302
thousand,2.107825
poseidon,2.1047482
harvey,2.1046925
freedom,2.1045246
gray,2.1025088
stealing,2.0994775
omega,2.0944252
nanny,2.094256
coming,2.0942497
lolita,2.0939548
stuart,2.0939226
candidate,2.0892763
theory,2.0872092
tarzan,2.0863197
gi,2.0835295
speed,2.0834098
crocodile,2.082277
beat,2.0784616
frank,2.07783
buffalo,2.0761473
mercy,2.0748916
chip,2.074375
em,2.0723314
whale,2.0717645
liberty,2.071739
oliver,2.0691822
keep,2.0685983
turbo,2.067321
fu panda,2.0652175
waiting,2.0651107
orphan,2.0643632
farewell,2.0629604
wong,2.0601828
alaska,2.0557063
bang,2.0540864
hello,2.0530272
delirious,2.0520473
house party,2.0518355
empty,2.0505962
peak,2.0505824
banana,2.0505092
bug,2.0488749
rogue,2.046235
player,2.0452516
third,2.0441477
death race,2.0441117
cradle,2.0440385
che,2.0393002
simple,2.036096
godfather,2.0351362
chuck,2.034769
italian,2.0329745
peace,2.0320568
wo,2.03135
monsieur,2.0313272
breathe,2.0303085
lightning,2.0262122
rabbit,2.0256655
triumph,2.0253284
birth,2.0207562
rim,2.0184567
block,2.0170116
fearless,2.0148664
barbarian,2.0145323
ace,2.0141213
neverending,2.01332
chick,2.0132892
engagement,2.0119011
someone,2.0085595
breakin,2.0072126
adventure sherlock,2.0069268
purge,2.0027268
grudge,2.0015762
forest,2.0014033
spellbound,2.0006642
alamo,2.0
stalingrad,2.0
tangerine,2.0
slacker,2.0
bliss,2.0
sleeper,2.0
rebound,2.0
eternity,2.0
crossroad,2.0
smurfs,2.0
creepshow,2.0
mastermind,2.0
vhs,2.0
crew,2.0
eros,2.0
analyze,2.0
bernie,2.0
conjuring,2.0
metropolis,2.0
footloose,2.0
derailed,2.0
cashback,2.0
freshman,2.0
blob,2.0
hitcher,2.0
ladykillers,2.0
boogeyman,2.0
inbetweeners,2.0
saturn,2.0
brainstorm,2.0
trust,2.0
descent,2.0
zoom,2.0
hercules,2.0
shaft,2.0
marley,2.0
chocolat,2.0
roommate,2.0
ronin,2.0
rescuer,2.0
bedazzled,2.0
hairspray,2.0
bat,2.0
imagine,2.0
rollerball,2.0
visitor,1.9996221
apartment,1.9992675
news,1.9978007
beethoven,1.9972816
couple,1.9951166
battleship,1.9923507
iron eagle,1.9920614
looking,1.9918934
biopic,1.9915674
low,1.9896566
zeitgeist,1.9877346
menace,1.9856489
electric,1.9847226
elephant,1.983892
exit,1.9831556
war world,1.9799805
trial,1.9788522
prime suspect,1.9784158
sense,1.9776896
jimmy,1.9766164
ship,1.9749141
ho,1.9748482
african,1.9740758
russia,1.9727846
post apocalyptic,1.9724234
apocalyptic,1.9724234
ip man,1.9717544
ip,1.9717544
crash,1.9703106
bachelor,1.9690211
clear,1.9687004
guide,1.9628943
yi,1.961596
lincoln,1.9613814
twelve,1.9563515
mortal,1.9555944
public enemy,1.9529665
protocol,1.952631
old men,1.9524027
musical,1.9518558
breakfast,1.9515209
set,1.9515027
chef,1.9500024
central,1.9486744
personal,1.9472294
lieutenant,1.9452875
month,1.9446409
coen,1.9439778
creepy,1.9428595
tracy,1.942744
sport,1.9415817
prom,1.9414834
hunting,1.94083
dancer,1.9379072
candyman,1.9377062
cloverfield,1.9367734
village,1.9366587
border,1.9357812
christ,1.9342015
royal,1.9340096
void,1.9338748
afternoon,1.932126
called,1.9307601
professor,1.930747
mon,1.9304125
anaconda,1.9298321
vie,1.9285245
barbershop,1.927181
carlin,1.9269476
george carlin,1.9269476
astrix,1.9267771
man knew,1.9237118
knew,1.9237118
forbidden,1.9197698
dragonheart,1.9157822
object,1.9126835
soundtrack,1.9125525
burnt,1.91203
washington,1.9115885
amy,1.9109168
save,1.9100562
nd,1.9090778
sniper,1.9082538
thin man,1.9063876
nora charles,1.9063876
nick nora,1.9063876
buster,1.9051965
uncle,1.9050735
rush hour,1.9044696
sharknado,1.9022865
love death,1.9013939
teen,1.9005738
villain,1.9003451
saga,1.8982875
volcano,1.8963574
del,1.8941816
underground,1.8938153
renaissance,1.8918002
coma,1.8916769
juice,1.8900931
alcoholism,1.8888631
source,1.8887916
wicker,1.8882644
nutty,1.8878031
figure,1.8874913
swashbuckler,1.8871002
armed,1.884667
seed,1.8832655
hudson,1.8815944
shoe,1.8787787
annie,1.8787341
predictable,1.8768262
gintama,1.8746123
bull,1.8696089
april,1.8677987
oh god,1.8674792
hill eye,1.8662521
six,1.8658594
scout,1.8655738
note,1.8653774
flintstone,1.8640975
gigolo,1.8611227
macbeth,1.8609259
fighter,1.8596743
venus,1.859622
mighty duck,1.8578751
leonardo,1.8575035
dress,1.8541362
encounter,1.8516365
knock,1.8510542
andy,1.8498068
gulliver travel,1.8457108
gulliver,1.8457108
smart,1.8454084
shaggy,1.8448505
alexander,1.8442502
coen brother,1.8436269
key,1.840435
ying,1.8400285
marathon,1.838979
picnic,1.8370593
waltz,1.8367136
dame,1.8366128
ghostbusters,1.8350673
hellboy,1.830907
heel,1.8290803
suburbia,1.829042
victoria,1.8289667
merry,1.8281412
wonderful,1.8273237
pigeon,1.8261026
goat,1.8254439
running scared,1.8254095
garfield,1.8244534
chicken,1.824445
dolittle,1.8240851
undisputed,1.8231643
dollar,1.8226924
raising,1.8216727
problem,1.8206795
visiting,1.8170942
herbie,1.8159748
shift,1.8147123
memoir,1.8139241
sheep,1.8136034
justice league,1.8128519
benjamin,1.8122443
episode,1.8121129
bay,1.8112588
alternate,1.8112361
noah,1.8103359
venice,1.8079506
theater,1.8057724
bella,1.8048301
beauty beast,1.8041432
upside,1.8033845
python,1.8019814
