movieId,title,release_year
2585,The Lovers of the Arctic Circle (Los Amantes del Círculo Polar),1998
2690,"Ideal Husband, An",1999
2696,"The Dinner Game (Dîner de cons, Le)",1998
2700,"South Park: Bigger, Longer and Uncut",1999
2708,"Autumn Tale, An (Conte d'automne)",1998
2793,"American Werewolf in Paris, An",1997
2794,European Vacation (aka National Lampoon's European Vacation),1985
2795,National Lampoon's Vacation,1983
2818,Iron Eagle IV,1995
2837,Bedrooms & Hallways,1998
2868,Fright Night Part II,1988
2879,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak),1991
2889,"Mystery, Alaska",1999
2897,And the Ship Sails On (E la nave va),1983
2987,Who Framed Roger Rabbit?,1988
3064,Poison Ivy: New Seduction,1997
3406,Captain Horatio Hornblower R.N.,1951
3431,Death Wish 2,1982
3434,Death Wish 5: The Face of Death,1994
3478,"Bamba, La",1987
3554,Love and Basketball,2000
3568,Smiling Fish and Goat on Fire,1999
3571,Time Code,2000
3592,"Time Masters (Maîtres du temps, Les)",1982
3655,Blow-Out (La grande bouffe),1973
3855,"Affair of Love, An (Liaison pornographique, Une)",1999
3869,The Naked Gun 2 1/2: The Smell of Fear,1991
3900,Crime and Punishment in Suburbia,2000
3930,The Creature from the Black Lagoon,1954
3951,Two Family House,2000
3972,The Legend of Drunken Master (Jui kuen II),1994
3990,Rugrats in Paris: The Movie,2000
4031,All the Pretty Horses,2000
4032,"Everlasting Piece, An",2000
4033,Thirteen Days,2000
4034,Traffic,2000
4035,The Claim,2000
4036,Shadow of the Vampire,2000
4037,House of Games,1987
4039,Annie,1982
4040,Don't Tell Mom the Babysitter's Dead,1991
4041,"Officer and a Gentleman, An",1982
4042,The Alamo,1960
4043,At Close Range,1986
4046,Friendly Persuasion,1956
4047,Gettysburg,1993
4051,Horrors of Spider Island (Ein Toter Hing im Netz),1960
4052,Antitrust,2001
4053,Double Take,2001
4054,Save the Last Dance,2001
4055,Panic,2000
4056,The Pledge,2001
4061,The Man in the Moon,1991
4062,Mystic Pizza,1988
4063,Prelude to a Kiss,1992
4064,Coffy,1973
4065,Foxy Brown,1974
4066,I'm Gonna Git You Sucka,1988
4067,Untamed Heart,1993
4068,Sugar & Spice,2001
4069,The Wedding Planner,2001
4074,"The Legend of Rita (Stille nach dem Schuß, Die)",1999
4077,"With a Friend Like Harry... (Harry, un ami qui vous veut du bien)",2000
4078,Amazing Grace and Chuck,1987
4079,Amazon Women on the Moon,1987
4080,Baby Boom,1987
4081,Back to the Beach,1987
4082,Barfly,1987
4083,Best Seller,1987
4084,Beverly Hills Cop II,1987
4085,Beverly Hills Cop,1984
4086,The Big Easy,1987
4089,Born in East L.A.,1987
4090,The Brave Little Toaster,1987
4091,Can't Buy Me Love,1987
4092,Cherry 2000,1987
4093,Cop,1988
4102,Eddie Murphy Raw,1987
4103,Empire of the Sun,1987
4104,Ernest Goes to Camp,1987
4105,The Evil Dead,1981
4109,Flowers in the Attic,1987
4110,The Fourth Protocol,1987
4111,Gardens of Stone,1987
4113,The Glass Menagerie,1987
4115,Hiding Out,1987
4116,Hollywood Shuffle,1987
4117,Hope and Glory,1987
4121,Innerspace,1987
4123,Ishtar,1987
4124,Jaws: The Revenge,1987
4125,Leonard Part 6,1987
4126,Less Than Zero,1987
4127,"Like Father, Like Son",1987
4128,The Lost Boys,1987
4129,Made in Heaven,1987
4130,Maid to Order,1987
4131,Making Mr. Right,1987
4132,Mannequin,1987
4133,Masters of the Universe,1987
4135,The Monster Squad,1987
4138,My Demon Lover,1987
4139,No Man's Land,1987
4141,Head Over Heels,2001
4142,Left Behind: The Movie,2000
4143,Valentine,2001
4144,In the Mood For Love (Fa yeung nin wa),2000
4146,The Million Dollar Hotel,2001
4147,Nico and Dani (Krámpack),2000
4148,Hannibal,2001
4149,Saving Silverman (Evil Woman),2001
4152,Vatel,2000
4153,Down to Earth,2001
4154,Recess: School's Out,2001
4155,Sweet November,2001
4156,Company Man,2000
4157,The Price of Milk,2000
4158,Monkeybone,2001
4159,3000 Miles to Graceland,2001
4160,"The Widow of St. Pierre (Veuve de Saint-Pierre, La)",2000
4161,The Mexican,2001
4164,The Caveman's Valentine,2001
4166,Series 7: The Contenders,2001
4167,15 Minutes,2001
4168,Get Over It,2001
4171,Long Night's Journey Into Day,2000
4174,Avalon,1990
4175,Gray's Anatomy,1996
4180,Reform School Girls,1986
4181,Tapeheads,1988
4184,The Bishop's Wife,1947
4187,Lilies of the Field,1963
4189,The Greatest Story Ever Told,1965
4190,Elmer Gantry,1960
4191,Alfie,1966
4193,The Fantasticks,1995
4194,I Know Where I'm Going!,1945
4195,The Abominable Dr. Phibes,1971
4197,Real Life,1979
4198,Battle Beyond the Stars,1980
4200,Double Impact,1991
4202,Fuzz,1972
4203,Harley Davidson and the Marlboro Man,1991
4204,Losin' It,1983
4205,Mermaids,1990
4207,Navy Seals,1990
4210,Manhunter,1986
4211,Reversal of Fortune,1990
4212,Death on the Nile,1978
4214,Revenge of the Nerds,1984
4215,Revenge of the Nerds II: Nerds in Paradise,1987
4217,4 Little Girls,1997
4218,River's Edge,1986
4219,Girls Just Want to Have Fun,1985
4220,The Longest Yard,1974
4221,Necessary Roughness,1991
4223,Enemy at the Gates,2001
4224,Exit Wounds,2001
4225,The Dish,2001
4226,Memento,2000
4228,Heartbreakers,2001
4229,Say It Isn't So,2001
4231,Someone Like You,2001
4232,Spy Kids,2001
4233,Tomcats,2001
4234,The Tailor of Panama,2001
4235,Amores Perros (Love's a Bitch),2000
4236,Keep the River on Your Right: A Modern Cannibal Tale,2000
4237,The Gleaners & I (Les glaneurs et la glaneuse),2000
4238,Along Came a Spider,2001
4239,Blow,2001
4240,Just Visiting,2001
4241,Pokémon 3: The Movie,2001
4242,Beautiful Creatures,2000
4243,Brigham City,2001
4246,Bridget Jones's Diary,2001
4247,Joe Dirt,2001
4248,Josie and the Pussycats,2001
4251,Chopper,2000
4252,The Circle (Dayereh),2000
4254,Crocodile Dundee in Los Angeles,2001
4255,Freddy Got Fingered,2001
4256,The Center of the World,2001
4259,The Luzhin Defence,2000
4260,The Visit,2000
4262,Scarface,1983
4263,Days of Wine and Roses,1962
4265,Driven,2001
4267,One Night at McCool's,2001
4268,Town & Country,2001
4270,The Mummy Returns,2001
4273,Under the Sand,2000
4275,Krull,1983
4276,Lost in America,1985
4278,Triumph of the Will (Triumph des Willens),1934
4280,The World According to Garp,1982
4282,Fellini Satyricon,1969
4284,Frankie and Johnny,1966
4285,Frankie and Johnny,1991
4289,"The City of Women (Città delle donne, La)",1980
4290,For the Boys,1991
4291,Nine to Five (a.k.a. 9 to 5),1980
4292,Norma Rae,1979
4293,Summer Rental,1985
4294,"The 5,000 Fingers of Dr. T",1953
4296,Love Story,1970
4297,Pelle the Conqueror (Pelle erobreren),1987
4298,Rififi (Du rififi chez les hommes),1955
4299,"Knight's Tale, A",2001
4300,Bread and Roses,2000
4304,Startup.com,2001
4305,Angel Eyes,2001
4306,Shrek,2001
4307,"Fast Food, Fast Women",2000
4308,Moulin Rouge,2001
4310,Pearl Harbor,2001
4312,Himalaya (Himalaya - l'enfance d'un chef),1999
4313,The Man Who Cried,2000
4316,Ice Castles,1978
4317,Love Potion #9,1992
4321,City Slickers,1991
4322,Eight Men Out,1988
4323,The Horse Soldiers,1959
4325,"The Night (Notte, La)",1960
4326,Mississippi Burning,1988
4327,The Magnificent Seven,1960
4329,Rio Bravo,1959
4333,Throw Momma from the Train,1987
4334,Yi Yi,2000
4337,The Sand Pebbles,1966
4338,Twelve O'Clock High,1949
4339,Von Ryan's Express,1965
4340,The Animal,2001
4342,Big Eden,2000
4343,Evolution,2001
4344,Swordfish,2001
4345,The Anniversary Party,2001
4347,Divided We Fall (Musíme si pomáhat),2000
4349,Catch-22,1970
4350,Forgotten Silver,1996
4351,Point Break,1991
4353,Uncommon Valor,1983
4354,Unlawful Entry,1992
4355,Youngblood,1986
4356,Gentlemen Prefer Blondes,1953
4357,How to Marry a Millionaire,1953
4359,The Seven Year Itch,1955
4361,Tootsie,1982
4366,Atlantis: The Lost Empire,2001
4367,Lara Croft: Tomb Raider,2001
4368,Dr. Dolittle 2,2001
4369,The Fast and the Furious,2001
4370,A.I. Artificial Intelligence,2001
4371,Baby Boy,2001
4372,Crazy/Beautiful,2001
4373,Pootie Tang,2001
4374,Let It Snow,1999
4378,Sexy Beast,2000
4380,"The Princess and the Warrior (Krieger und die Kaiserin, Der)",2000
4381,"The Closet (Placard, Le)",2001
4383,"The Crimson Rivers (Rivières pourpres, Les)",2000
4384,Lumumba,2000
4386,Cats & Dogs,2001
4387,Kiss of the Dragon,2001
4388,Scary Movie 2,2001
4389,Lost and Delirious,2001
4390,Rape Me (Baise-moi),2000
4392,Alice,1990
4393,Another Woman,1988
4394,Beach Blanket Bingo,1965
4395,Big Deal on Madonna Street (I Soliti Ignoti),1958
4396,The Cannonball Run,1981
4397,Cannonball Run II,1984
4399,"Diary of a Chambermaid (Journal d'une femme de chambre, Le)",1964
4402,Dr. Goldfoot and the Bikini Machine,1965
4403,The Fall of the House of Usher (House of Usher),1960
4404,Faust,1926
4406,The Man Who Shot Liberty Valance,1962
4407,Salvador,1986
4408,September,1987
4409,Shadows and Fog,1991
4410,Something Wild,1986
4412,The Thing with Two Heads,1972
4419,All That Heaven Allows,1955
4420,The Barefoot Contessa,1954
4422,Cries and Whispers (Viskningar och rop),1972
4424,"The Garden of the Finzi-Continis (Giardino dei Finzi-Contini, Il)",1970
4426,Kiss Me Deadly,1955
4427,The Lion in Winter,1968
4428,The Misfits,1961
4429,Moby Dick,1956
4432,Sweet Smell of Success,1957
4433,Written on the Wind,1956
4434,The 10th Victim (La decima vittima),1965
4436,Obsession,1976
4437,Suspiria,1977
4438,The Fist of Fury (Chinese Connection) (Jing wu men),1972
4439,Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo),1981
4440,The Big Boss (Fists of Fury) (Tang shan da xiong),1971
4441,Game of Death,1978
4442,The Last Dragon,1985
4443,Outland,1981
4444,The Way of the Dragon (a.k.a. Return of the Dragon) (Meng long guo jiang),1972
4445,T-Rex: Back to the Cretaceous,1998
4446,Final Fantasy: The Spirits Within,2001
4447,Legally Blonde,2001
4448,The Score,2001
4449,Adanggaman,2000
4450,Bully,2001
4451,Jump Tomorrow,2001
4452,Made,2001
4453,Michael Jordan to the Max,2000
4454,More,1998
4458,Africa: The Serengeti,1994
4459,Alaska: Spirit of the Wild,1997
4462,18 Again!,1988
4463,1969,1988
4464,The Accidental Tourist,1988
4465,The Accused,1988
4466,Above the Law,1988
4467,The Adventures of Baron Munchausen,1988
4470,Ariel,1988
4471,Arthur 2: On the Rocks,1988
4473,Bat*21,1988
4474,Beaches,1988
4475,The Beast of War (Beast),1988
4476,Big Business,1988
4477,Big Top Pee-Wee,1988
4478,Biloxi Blues,1988
4482,"Bright Lights, Big City",1988
4483,Caddyshack II,1988
4484,Camille Claudel,1988
4487,Cocktail,1988
4488,Colors,1988
4489,Coming to America,1988
4490,The Couch Trip,1988
4492,Critters,1986
4495,Crossing Delancey,1988
4496,D.O.A.,1988
4497,Dead Heat,1988
4498,The Dead Pool,1988
4499,Dirty Rotten Scoundrels,1988
4500,Drowning by Numbers,1988
4502,Ernest Saves Christmas,1988
4504,Feds,1988
4505,For Keeps,1988
4506,Frantic,1988
4508,Gorillas in the Mist,1988
4509,The Great Outdoors,1988
4511,High Spirits,1988
4516,Johnny Be Good,1988
4517,Lady in White (a.k.a. The Mystery of the Lady in White),1988
4518,The Lair of the White Worm,1988
4519,The Land Before Time,1988
4520,License to Drive,1988
4521,Little Nikita,1988
4522,Masquerade,1988
4523,Milagro Beanfield War,1988
4524,Moon Over Parador,1988
4526,My Stepmother Is an Alien,1988
4527,"Night in the Life of Jimmy Reardon, A",1988
4529,Bagdad Cafe (Out of Rosenheim),1987
4531,Red Heat,1988
4533,The Return of the Living Dead,1985
4534,Return to Snowy River (a.k.a. The Man From Snowy River II),1988
4535,The Man from Snowy River,1982
4537,Running on Empty,1988
4541,The Serpent and the Rainbow,1988
4544,Short Circuit 2,1988
4545,Short Circuit,1986
4546,The Vanishing (Spoorloos),1988
4552,"Tetsuo, the Ironman (Tetsuo)",1988
4553,They Live,1988
4557,Tucker: The Man and His Dream,1988
4558,Twins,1988
4562,Without a Clue,1988
4563,Young Einstein,1988
4564,Always,1989
4565,American Ninja,1985
4568,Best of the Best,1989
4571,Bill & Ted's Excellent Adventure,1989
4572,Black Rain,1989
4573,Blaze,1989
4574,Blind Fury,1989
4577,Casualties of War,1989
4578,Chances Are,1989
4580,Cyborg,1989
4581,Dad,1989
4583,Disorganized Crime,1989
4584,Dream a Little Dream,1989
4585,The Dream Team,1989
4587,Earth Girls Are Easy,1988
4589,Eddie and the Cruisers,1983
4591,Erik the Viking,1989
4593,Family Business,1989
4594,Farewell to the King,1989
4595,Fat Man and Little Boy,1989
4597,Gleaming the Cube,1989
4599,Great Balls of Fire!,1989
4600,Gross Anatomy (a.k.a. A Cut Above),1989
4602,Harlem Nights,1989
4603,Her Alibi,1989
4605,How to Get Ahead in Advertising,1989
4608,"Innocent Man, An",1989
4610,The January Man,1989
4611,Johnny Handsome,1989
4612,Jesus of Montreal (Jésus de Montréal),1989
4613,K-9,1989
4614,Kickboxer,1989
4615,Last Exit to Brooklyn,1989
4616,Lean on Me,1989
4617,Let It Ride,1989
4619,Little Monsters,1989
4621,Look Who's Talking,1989
4622,Loverboy,1989
4623,Major League,1989
4624,Meet the Feebles,1989
4625,Millennium,1989
4626,Miracle Mile,1989
4628,New York Stories,1989
4629,Next of Kin,1989
4630,No Holds Barred,1989
4632,The Package,1989
4634,Penn & Teller Get Killed,1989
4635,Pink Cadillac,1989
4636,The Punisher,1989
4638,Jurassic Park III,2001
4639,America's Sweethearts,2001
4640,Brother,2000
4641,Ghost World,2001
4642,Hedwig and the Angry Inch,2000
4644,Bread and Tulips (Pane e tulipani),2000
4645,Cure,1997
4646,Greenfingers,2000
4649,Wet Hot American Summer,2001
4653,The Return of the Musketeers,1989
4654,Road House,1989
4658,Santa Sangre,1989
4660,Scenes from the Class Struggle in Beverly Hills,1989
4661,Sea of Love,1989
4662,"See No Evil, Hear No Evil",1989
4663,She's Out of Control,1989
4666,Skin Deep,1989
4670,The Stepfather,1987
4671,Sweetie,1989
4672,The Tall Guy,1989
4673,Tango & Cash,1989
4675,Three Fugitives,1989
4676,Troop Beverly Hills,1989
4677,Turner & Hooch,1989
4678,UHF,1989
4679,Uncle Buck,1989
4681,The War of the Roses,1989
4683,The Wizard,1989
4686,Weekend at Bernie's II,1993
4687,Billy Liar,1963
4688,Black Robe,1991
4689,"The Cat o' Nine Tails (Gatto a nove code, Il)",1971
4690,The Cotton Club,1984
4695,Who'll Stop the Rain,1978
4697,Basket Case,1982
4699,Original Sin,2001
4700,The Princess Diaries,2001
4701,Rush Hour 2,2001
4704,Hatari!,1962
4705,"Cage aux Folles, La",1978
4708,Marat/Sade,1966
4709,Paint Your Wagon,1969
4710,The Shootist,1976
4711,Theremin: An Electronic Odyssey,1993
4713,Altered States,1980
4714,Any Which Way You Can,1980
4715,The Awakening,1980
4717,The Battle Creek Brawl (Big Brawl),1980
4718,American Pie 2,2001
4719,Osmosis Jones,2001
4720,The Others,2001
4721,American Outlaws,2001
4722,All Over the Guy,2001
4723,The Deep End,2001
4725,Session 9,2001
4727,Captain Corelli's Mandolin,2001
4728,Rat Race,2001
4732,Bubble Boy,2001
4733,The Curse of the Jade Scorpion,2001
4734,Jay and Silent Bob Strike Back,2001
4735,Ghosts of Mars,2001
4736,Summer Catch,2001
4738,Happy Accidents,2000
4740,Maybe Baby,2000
4741,Together (Tillsammans),2000
4743,Tortilla Soup,2001
4744,Jeepers Creepers,2001
4745,O,2001
4748,3 Ninjas,1992
4749,3 Ninjas Kick Back,1994
4750,3 Ninjas Knuckle Up,1995
4754,The Wicker Man,1973
4756,The Musketeer,2001
4757,Rock Star,2001
4759,Two Can Play That Game,2001
4765,L.I.E.,2001
4766,"Our Lady of the Assassins (Virgen de los sicarios, La)",2000
4769,Into the Arms of Strangers: Stories of the Kindertransport,2000
4770,The Glass House,2001
4771,Hardball,2001
4772,Dinner Rush,2000
4773,Haiku Tunnel,2001
4774,Big Trouble,2002
4775,Glitter,2001
4776,Training Day,2001
4777,The American Astronaut,2001
4780,Liam,2000
4782,Sidewalks of New York,2001
4783,The Endurance: Shackleton's Legendary Antarctic Expedition,2000
4784,The French Lieutenant's Woman,1981
4785,"The Great Silence (Grande silenzio, Il)",1969
4786,The Legend of Hell House,1973
4787,Little Man Tate,1991
4788,Moscow Does Not Believe in Tears (Moskva slezam ne verit),1979
4789,Phantom of the Paradise,1974
4792,13 Ghosts,1960
4794,Opera,1987
4795,Father Goose,1964
4796,The Grass Is Greener,1960
4798,Indiscreet,1958
4799,"It's a Mad, Mad, Mad, Mad World",1963
4800,King Solomon's Mines,1937
4801,The Little Foxes,1941
4802,Operation Petticoat,1959
4803,Play Misty for Me,1971
4804,Pocketful of Miracles,1961
4808,The Vanishing,1993
4809,Silkwood,1983
4810,I Never Promised You a Rose Garden,1977
4811,Quadrophenia,1979
4812,SpaceCamp,1986
4813,When Worlds Collide,1951
4814,Don't Say a Word,2001
4815,Hearts in Atlantis,2001
4816,Zoolander,2001
4818,Extreme Days,2001
4821,Joy Ride,2001
4822,Max Keeble's Big Move,2001
4823,Serendipity,2001
4825,"The Swamp (Ciénaga, La)",2001
4826,The Big Red One,1980
4827,The Boogeyman,1980
4828,"The Party (Boum, La)",1980
4830,Brubaker,1980
4831,Can't Stop the Music,1980
4833,The Changeling,1980
4835,Coal Miner's Daughter,1980
4836,The Competition,1980
4840,"The Last Metro (Dernier métro, Le)",1980
4844,Bandits,2001
4845,Corky Romano,2001
4846,Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau),1993
4847,Fat Girl (À ma soeur!),2001
4848,Mulholland Drive,2001
4849,My First Mister,2001
4850,Spriggan (Supurigan),1998
4852,Bones,2001
4855,Dirty Harry,1971
4857,Fiddler on the Roof,1971
4860,Making the Grade,1984
4862,Not Without My Daughter,1991
4863,Female Trouble,1975
4864,Titanica,1992
4865,From Hell,2001
4866,The Last Castle,2001
4867,Riding in Cars with Boys,2001
4871,Focus,2001
4873,Waking Life,2001
4874,K-PAX,2001
4876,Thirteen Ghosts (a.k.a. Thir13en Ghosts),2001
4877,Better Than Sex,2000
4878,Donnie Darko,2001
4879,High Heels and Low Lifes,2001
4880,Life as a House,2001
4881,The Man Who Wasn't There,2001
4883,"The Town is Quiet (Ville est tranquille, La)",2000
4885,Domestic Disturbance,2001
4886,"Monsters, Inc.",2001
4887,The One,2001
4888,Tape,2001
4889,Heist,2001
4890,Shallow Hal,2001
4893,When a Stranger Calls,1979
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),2001
4898,Novocaine,2001
4899,Black Knight,2001
4900,Out Cold,2001
4901,Spy Game,2001
4902,"The Devil's Backbone (Espinazo del diablo, El)",2001
4903,In the Bedroom,2001
4909,The Incredible Shrinking Woman,1981
4911,Jabberwocky,1977
4912,Funny Girl,1968
4915,The Beastmaster,1982
4916,Midway,1976
4917,MacArthur,1977
4919,Subway,1985
4920,"Now, Voyager",1942
4921,Little Women,1933
4925,The Cheap Detective,1978
4926,Everybody's Famous! (Iedereen beroemd!),2000
4927,The Last Wave,1977
4928,That Obscure Object of Desire (Cet obscur objet du désir),1977
4929,The Toy,1982
4932,Dressed to Kill,1980
4936,Fame,1980
4939,The Final Countdown,1980
4941,Flash Gordon,1980
4942,The Angry Red Planet,1959
4945,The Enforcer,1976
4946,"Eye for an Eye, An",1981
4947,The Gauntlet,1977
4952,Morons From Outer Space,1985
4953,The People That Time Forgot,1977
4954,Ocean's Eleven (a.k.a. Ocean's 11),1960
4956,The Stunt Man,1980
4957,Sudden Impact,1983
4958,Behind Enemy Lines,2001
4959,The Affair of the Necklace,2001
4961,Pornstar: The Legend of Ron Jeremy,2001
4962,Texas Rangers,2001
4963,Ocean's Eleven,2001
4964,Baran,2001
4965,The Business of Strangers,2001
4966,The Incredible Shrinking Man,1957
4967,No Man's Land,2001
4969,And Then There Were None,1945
4970,"The Blue Angel (Blaue Engel, Der)",1930
4971,Moscow on the Hudson,1984
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",2001
4974,Not Another Teen Movie,2001
4975,Vanilla Sky,2001
4976,Iris,2001
4977,Kandahar (Safar e Ghandehar),2001
4978,Lantana,2001
4979,The Royal Tenenbaums,2001
4980,Bill & Ted's Bogus Journey,1991
4981,Clockwise,1986
4985,Sheena,1984
4987,Spacehunter: Adventures in the Forbidden Zone,1983
4988,White Water Summer,1987
4989,How High,2001
4990,Jimmy Neutron: Boy Genius,2001
4991,Joe Somebody,2001
4992,Kate & Leopold,2001
4993,The Lord of the Rings: The Fellowship of the Ring,2001
4994,The Majestic,2001
4995,"Beautiful Mind, A",2001
4998,The Defiant Ones,1958
5004,The Party,1968
5007,Topkapi,1964
5008,Witness for the Prosecution,1957
5009,Ali,2001
5010,Black Hawk Down,2001
5011,Charlotte Gray,2001
5012,Yentl,1983
5013,Gosford Park,2001
5014,I Am Sam,2001
5015,Monster's Ball,2001
5016,The Shipping News,2001
5021,Murder by Death,1976
5023,The Waterdance,1992
5025,Orange County,2002
5026,"Brotherhood of the Wolf (Pacte des loups, Le)",2001
5027,Another 48 Hrs.,1990
5028,What Time Is It There? (Ni neibian jidian),2001
5033,The Russia House,1990
5034,"Truly, Madly, Deeply",1991
5039,Dragonslayer,1981
5040,Conan the Destroyer,1984
5041,Fire and Ice,1983
5046,Impostor,2002
5047,Kung Pow: Enter the Fist,2002
5048,Snow Dogs,2002
5049,48 Hrs.,1982
5051,Italian for Beginners (Italiensk for begyndere),2000
5053,Blankman,1994
5054,Brainstorm,1983
5055,Dragon: The Bruce Lee Story,1993
5059,Little Dieter Needs to Fly,1997
5060,M*A*S*H (a.k.a. MASH),1970
5062,Seconds,1966
5063,One-Eyed Jacks,1961
5064,The Count of Monte Cristo,2002
5065,The Mothman Prophecies,2002
5066,"Walk to Remember, A",2002
5068,Beijing Bicycle (Shiqi sui de dan che),2001
5069,Escaflowne: The Movie (Escaflowne),2000
5071,Maelström,2000
5073,"The Son's Room (Stanza del figlio, La)",2001
5074,Storytelling,2001
5075,Waydowntown,2000
5076,The Adventures of Huck Finn,1993
5077,Cousins,1989
5080,Slackers,2002
5081,Birthday Girl,2001
5083,Rare Birds,2001
5088,"Going Places (Valseuses, Les)",1974
5092,Big Fat Liar,2002
5093,Collateral Damage,2002
5094,Rollerball,2002
5095,"Scotland, Pa.",2001
5096,Baby's Day Out,1994
5099,Heidi,1937
5102,Rookie of the Year,1993
5103,The Sandlot,1993
5105,Don't Look Now,1973
5106,Crossroads,2002
5107,Hart's War,2002
5108,John Q,2002
5109,Return to Never Land,2002
5110,Super Troopers,2001
5111,The Good Son,1993
5112,Last Orders,2001
5113,After the Fox (Caccia alla volpe),1966
5114,The Bad and the Beautiful,1952
5116,Designing Woman,1957
5120,Sleuth,1972
5121,Stroszek,1977
5127,Dragonfly,2002
5128,Queen of the Damned,2002
5131,How to Kill Your Neighbor's Dog,2000
5134,Mean Machine,2001
5135,Monsoon Wedding,2001
5136,Wendigo,2001
5137,Scratch,2001
5139,The Bad News Bears,1976
