,movieId,count,mean,bayesian_avg,title
94,106,1,4.0,3.33,Nobody Loves Me (Keiner liebt mich) (1994)
95,107,26,3.326923076923077,3.31,Muppet Treasure Island (1996)
96,108,1,4.0,3.33,Catwalk (1996)
97,110,237,4.031645569620253,4.0,Braveheart (1995)
98,111,104,4.105769230769231,4.03,Taxi Driver (1976)
99,112,46,3.5434782608695654,3.49,Rumble in the Bronx (Hont faan kui) (1995)
100,113,3,3.3333333333333335,3.28,Before and After (1996)
101,116,5,3.9,3.47,Anne Frank Remembered (1995)
102,117,1,3.0,3.24,"Young Poisoner's Handbook, The (1995)"
103,118,2,2.5,3.14,If Lucy Fell (1996)
104,119,2,3.0,3.22,"Steal Big, Steal Little (1995)"
105,121,2,4.0,3.38,"Boys of St. Vincent, The (1992)"
106,122,16,2.65625,2.89,Boomerang (1992)
107,123,4,4.375,3.57,Chungking Express (Chung Hing sam lam) (1994)
108,125,12,3.5833333333333335,3.43,Flirting With Disaster (1996)
109,126,7,2.0,2.75,"NeverEnding Story III, The (1994)"
110,128,1,3.0,3.24,Jupiter's Wife (1994)
111,129,1,2.0,3.15,Pie in the Sky (1996)
112,132,6,2.8333333333333335,3.11,Jade (1995)
113,135,31,2.9516129032258065,3.03,Down Periscope (1996)
114,137,1,3.0,3.24,Man of the Year (1995)
115,140,16,3.5,3.41,Up Close and Personal (1996)
116,141,86,3.494186046511628,3.47,"Birdcage, The (1996)"
117,144,12,3.3333333333333335,3.3,"Brothers McMullen, The (1995)"
118,145,51,3.2450980392156863,3.25,Bad Boys (1995)
119,146,3,3.3333333333333335,3.28,"Amazing Panda Adventure, The (1995)"
120,147,15,3.466666666666667,3.38,"Basketball Diaries, The (1995)"
121,148,1,5.0,3.42,"Awfully Big Adventure, An (1995)"
122,149,1,2.0,3.15,Amateur (1994)
123,150,201,3.845771144278607,3.82,Apollo 13 (1995)
124,151,44,3.5454545454545454,3.49,Rob Roy (1995)
125,152,2,1.5,2.98,"Addiction, The (1995)"
126,153,137,2.9160583941605838,2.94,Batman Forever (1995)
127,154,12,3.875,3.59,Beauty of the Day (Belle de jour) (1967)
128,155,6,2.4166666666666665,2.95,Beyond Rangoon (1995)
129,156,3,3.3333333333333335,3.28,Blue in the Face (1995)
130,157,11,2.8636363636363638,3.06,Canadian Bacon (1995)
131,158,62,2.806451612903226,2.87,Casper (1995)
132,159,14,2.892857142857143,3.05,Clockers (1995)
133,160,57,2.8771929824561404,2.94,Congo (1995)
134,161,103,3.6359223300970873,3.6,Crimson Tide (1995)
135,162,17,4.205882352941177,3.85,Crumb (1994)
136,163,66,3.5606060606060606,3.52,Desperado (1995)
137,164,14,3.3214285714285716,3.3,Devil in a Blue Dress (1995)
138,165,144,3.5555555555555554,3.54,Die Hard: With a Vengeance (1995)
139,166,3,2.8333333333333335,3.17,"Doom Generation, The (1995)"
140,168,54,3.0833333333333335,3.11,First Knight (1995)
141,169,10,2.4,2.84,Free Willy 2: The Adventure Home (1995)
142,170,35,3.2285714285714286,3.24,Hackers (1995)
143,171,6,3.8333333333333335,3.47,Jeffrey (1995)
144,172,53,2.6792452830188678,2.77,Johnny Mnemonic (1995)
145,173,62,2.6693548387096775,2.75,Judge Dredd (1995)
146,174,10,2.7,2.99,Jury Duty (1995)
147,175,20,3.975,3.73,Kids (1995)
148,176,13,4.3076923076923075,3.84,Living in Oblivion (1995)
149,177,8,2.75,3.04,Lord of Illusions (1995)
150,178,1,1.0,3.06,Love & Human Remains (1993)
151,179,2,1.5,2.98,Mad Love (1995)
152,180,36,3.4027777777777777,3.37,Mallrats (1995)
153,181,17,2.264705882352941,2.64,Mighty Morphin Power Rangers: The Movie (1995)
154,183,2,3.5,3.3,Mute Witness (1994)
155,184,2,3.5,3.3,Nadja (1994)
156,185,112,3.0401785714285716,3.06,"Net, The (1995)"
157,186,48,2.8229166666666665,2.9,Nine Months (1995)
158,187,4,4.125,3.5,Party Girl (1995)
159,188,12,3.4583333333333335,3.37,"Prophecy, The (1995)"
160,189,1,3.0,3.24,Reckless (1995)
161,190,5,2.8,3.11,Safe (1995)
162,191,6,2.4166666666666665,2.95,"Scarlet Letter, The (1995)"
163,193,35,2.4714285714285715,2.65,Showgirls (1995)
164,194,18,3.6666666666666665,3.52,Smoke (1995)
165,195,10,3.1,3.18,Something to Talk About (1995)
166,196,45,2.6666666666666665,2.78,Species (1995)
167,198,28,3.25,3.25,Strange Days (1995)
168,199,4,4.125,3.5,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
169,201,1,3.0,3.24,Three Wishes (1995)
170,202,1,3.0,3.24,Total Eclipse (1995)
171,203,22,3.4318181818181817,3.38,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
172,204,30,2.716666666666667,2.86,Under Siege 2: Dark Territory (1995)
173,205,9,3.1666666666666665,3.22,Unstrung Heroes (1995)
174,206,2,3.0,3.22,Unzipped (1995)
175,207,21,3.4285714285714284,3.37,"Walk in the Clouds, A (1995)"
176,208,115,2.9130434782608696,2.94,Waterworld (1995)
177,209,3,3.1666666666666665,3.24,White Man's Burden (1995)
178,210,4,3.0,3.19,Wild Bill (1995)
179,211,2,3.5,3.3,"Browning Version, The (1994)"
180,212,3,3.0,3.2,Bushwhacked (1995)
181,213,6,3.8333333333333335,3.47,Burnt by the Sun (Utomlyonnye solntsem) (1994)
182,214,2,4.0,3.38,Before the Rain (Pred dozhdot) (1994)
183,215,24,4.041666666666667,3.81,Before Sunrise (1995)
184,216,49,3.326530612244898,3.32,Billy Madison (1995)
185,217,6,2.3333333333333335,2.92,"Babysitter, The (1995)"
186,218,14,3.4285714285714284,3.36,Boys on the Side (1995)
187,219,1,3.0,3.24,"Cure, The (1995)"
188,220,1,3.0,3.24,Castle Freak (1995)
189,222,16,3.75,3.56,Circle of Friends (1995)
190,223,104,3.855769230769231,3.8,Clerks (1994)
191,224,40,3.6125,3.54,Don Juan DeMarco (1995)
192,225,52,3.5384615384615383,3.49,Disclosure (1994)
193,227,22,2.8636363636363638,2.99,Drop Zone (1994)
194,228,3,2.3333333333333335,3.05,Destiny Turns on the Radio (1995)
195,229,7,3.4285714285714284,3.33,Death and the Maiden (1994)
196,230,24,3.3958333333333335,3.36,Dolores Claiborne (1995)
197,231,133,3.0601503759398496,3.07,Dumb & Dumber (Dumb and Dumber) (1994)
198,232,14,3.892857142857143,3.62,Eat Drink Man Woman (Yin shi nan nu) (1994)
199,233,12,3.5,3.39,Exotica (1994)
200,234,17,2.588235294117647,2.84,Exit to Eden (1994)
201,235,70,3.6785714285714284,3.62,Ed Wood (1994)
202,236,45,3.477777777777778,3.44,French Kiss (1995)
203,237,22,3.340909090909091,3.32,Forget Paris (1995)
204,238,2,4.0,3.38,Far From Home: The Adventures of Yellow Dog (1995)
205,239,17,3.0,3.1,"Goofy Movie, A (1995)"
206,240,4,2.375,3.02,Hideaway (1995)
207,241,1,4.0,3.33,Fluke (1995)
208,242,5,3.6,3.37,Farinelli: il castrato (1994)
209,243,1,3.0,3.24,Gordy (1995)
210,246,29,4.293103448275862,4.02,Hoop Dreams (1994)
211,247,21,3.9285714285714284,3.71,Heavenly Creatures (1994)
212,248,17,3.176470588235294,3.21,Houseguest (1994)
213,249,18,3.7222222222222223,3.55,Immortal Beloved (1994)
214,250,6,2.5,2.98,Heavyweights (Heavy Weights) (1995)
215,251,3,3.0,3.2,"Hunted, The (1995)"
216,252,43,3.453488372093023,3.42,I.Q. (1994)
217,253,109,3.458715596330275,3.44,Interview with the Vampire: The Vampire Chronicles (1994)
218,254,1,3.0,3.24,Jefferson in Paris (1995)
219,255,7,2.0714285714285716,2.78,"Jerky Boys, The (1995)"
220,256,35,2.8285714285714287,2.93,Junior (1994)
221,257,14,3.5,3.4,Just Cause (1995)
222,258,10,2.6,2.94,"Kid in King Arthur's Court, A (1995)"
223,259,5,3.2,3.24,Kiss of Death (1995)
224,260,251,4.231075697211155,4.19,Star Wars: Episode IV - A New Hope (1977)
225,261,42,3.880952380952381,3.76,Little Women (1994)
226,262,21,3.9047619047619047,3.69,"Little Princess, A (1995)"
227,263,1,4.0,3.33,Ladybird Ladybird (1994)
228,265,33,3.9393939393939394,3.78,Like Water for Chocolate (Como agua para chocolate) (1992)
229,266,68,3.3970588235294117,3.38,Legends of the Fall (1994)
230,267,17,2.9411764705882355,3.06,Major Payne (1995)
231,269,2,3.0,3.22,My Crazy Life (Mi vida loca) (1993)
232,270,5,3.4,3.31,Love Affair (1994)
233,271,4,3.5,3.33,Losing Isaiah (1995)
234,272,31,3.7580645161290325,3.63,"Madness of King George, The (1994)"
235,273,28,2.9464285714285716,3.03,Mary Shelley's Frankenstein (Frankenstein) (1994)
236,274,7,2.9285714285714284,3.13,Man of the House (1995)
237,275,6,2.0,2.8,Mixed Nuts (1994)
238,276,22,3.25,3.25,Milk Money (1994)
239,277,38,3.223684210526316,3.23,Miracle on 34th Street (1994)
240,278,2,1.5,2.98,Miami Rhapsody (1995)
241,279,2,3.0,3.22,My Family (1995)
242,280,13,4.076923076923077,3.72,Murder in the First (1995)
243,281,14,3.7857142857142856,3.56,Nobody's Fool (1994)
244,282,40,3.3375,3.32,Nell (1994)
245,283,3,3.6666666666666665,3.35,New Jersey Drive (1995)
246,284,1,4.5,3.37,New York Cop (Nyû Yôku no koppu) (1993)
247,285,1,4.0,3.33,Beyond Bedlam (1993)
248,287,1,3.0,3.24,Nina Takes a Lover (1994)
249,288,92,3.233695652173913,3.24,Natural Born Killers (1994)
250,289,8,3.5625,3.39,Only You (1994)
251,290,14,4.035714285714286,3.71,Once Were Warriors (1994)
252,291,3,2.3333333333333335,3.05,Poison Ivy II (1996)
253,292,101,3.4257425742574257,3.41,Outbreak (1995)
254,293,133,4.018796992481203,3.96,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
255,294,2,3.0,3.22,"Perez Family, The (1995)"
256,295,1,3.0,3.24,"Pyromaniac's Love Story, A (1995)"
257,296,307,4.197068403908795,4.17,Pulp Fiction (1994)
258,298,1,2.0,3.15,Pushing Hands (Tui shou) (1992)
259,299,4,4.0,3.47,Priest (1994)
260,300,81,3.5185185185185186,3.49,Quiz Show (1994)
261,301,1,4.0,3.33,Picture Bride (Bijo photo) (1994)
262,302,5,3.2,3.24,"Queen Margot (Reine Margot, La) (1994)"
263,303,32,2.953125,3.03,"Quick and the Dead, The (1995)"
264,304,3,3.6666666666666665,3.35,Roommates (1995)
265,305,9,2.8333333333333335,3.06,Ready to Wear (Pret-A-Porter) (1994)
266,306,16,4.21875,3.84,Three Colors: Red (Trois couleurs: Rouge) (1994)
267,307,24,3.8958333333333335,3.7,Three Colors: Blue (Trois couleurs: Bleu) (1993)
268,308,20,4.025,3.76,Three Colors: White (Trzy kolory: Bialy) (1994)
269,310,1,3.0,3.24,Rent-a-Kid (1995)
270,311,1,3.0,3.24,Relative Fear (1994)
271,312,9,1.4444444444444444,2.42,Stuart Saves His Family (1995)
272,313,3,3.3333333333333335,3.28,"Swan Princess, The (1994)"
273,314,16,3.75,3.56,"Secret of Roan Inish, The (1994)"
274,315,38,3.0789473684210527,3.12,"Specialist, The (1994)"
275,316,140,3.375,3.37,Stargate (1994)
276,317,81,3.2037037037037037,3.21,"Santa Clause, The (1994)"
277,318,317,4.429022082018927,4.39,"Shawshank Redemption, The (1994)"
278,319,20,3.6,3.48,Shallow Grave (1994)
279,320,1,3.0,3.24,Suture (1993)
280,321,2,4.0,3.38,Strawberry and Chocolate (Fresa y chocolate) (1993)
281,322,10,3.55,3.4,Swimming with Sharks (1995)
282,324,1,4.0,3.33,"Sum of Us, The (1994)"
283,325,7,2.5,2.96,National Lampoon's Senior Trip (1995)
284,326,3,4.0,3.43,To Live (Huozhe) (1994)
285,327,34,2.823529411764706,2.93,Tank Girl (1995)
286,328,10,3.15,3.21,Tales from the Crypt Presents: Demon Knight (1995)
287,329,108,3.3935185185185186,3.38,Star Trek: Generations (1994)
288,330,6,3.0,3.17,Tales from the Hood (1995)
289,331,2,3.0,3.22,Tom & Viv (1994)
290,332,12,2.8333333333333335,3.03,Village of the Damned (1995)
291,333,50,3.78,3.69,Tommy Boy (1995)
292,334,5,4.2,3.57,Vanya on 42nd Street (1994)
293,335,2,3.5,3.3,Underneath (1995)
294,336,1,3.0,3.24,"Walking Dead, The (1995)"
295,337,77,3.7662337662337664,3.71,What's Eating Gilbert Grape (1993)
296,338,19,2.8421052631578947,2.99,Virtuosity (1995)
297,339,98,3.4693877551020407,3.45,While You Were Sleeping (1995)
298,340,5,3.4,3.31,"War, The (1994)"
299,341,2,4.0,3.38,Double Happiness (1994)
300,342,33,3.272727272727273,3.27,Muriel's Wedding (1994)
301,343,5,2.9,3.14,"Baby-Sitters Club, The (1995)"
302,344,161,3.040372670807453,3.05,Ace Ventura: Pet Detective (1994)
303,345,36,3.5972222222222223,3.52,"Adventures of Priscilla, Queen of the Desert, The (1994)"
304,346,6,3.5,3.35,Backbeat (1993)
305,347,6,3.5,3.35,Bitter Moon (1992)
306,348,30,3.5833333333333335,3.5,Bullets Over Broadway (1994)
307,349,110,3.6045454545454545,3.58,Clear and Present Danger (1994)
308,350,57,3.3859649122807016,3.37,"Client, The (1994)"
309,351,17,3.176470588235294,3.21,"Corrina, Corrina (1994)"
310,352,2,2.5,3.14,Crooklyn (1994)
311,353,64,3.609375,3.56,"Crow, The (1994)"
312,354,6,3.3333333333333335,3.29,Cobb (1994)
313,355,42,2.357142857142857,2.54,"Flintstones, The (1994)"
314,356,329,4.164133738601824,4.14,Forrest Gump (1994)
315,357,103,3.5194174757281553,3.5,Four Weddings and a Funeral (1994)
316,358,9,2.6666666666666665,2.99,Higher Learning (1995)
317,359,1,3.0,3.24,I Like It Like That (1994)
318,360,8,2.6875,3.01,I Love Trouble (1994)
319,361,17,3.0588235294117645,3.14,It Could Happen to You (1994)
320,362,34,3.5294117647058822,3.47,"Jungle Book, The (1994)"
321,363,2,4.0,3.38,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
322,364,172,3.941860465116279,3.9,"Lion King, The (1994)"
323,365,4,3.25,3.26,Little Buddha (1993)
324,366,12,2.9166666666666665,3.08,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
325,367,157,3.1847133757961785,3.19,"Mask, The (1994)"
326,368,74,3.5,3.47,Maverick (1994)
327,369,2,4.0,3.38,Mrs. Parker and the Vicious Circle (1994)
328,370,58,3.060344827586207,3.09,Naked Gun 33 1/3: The Final Insult (1994)
329,371,21,3.3095238095238093,3.29,"Paper, The (1994)"
330,372,21,2.761904761904762,2.93,Reality Bites (1994)
331,373,11,3.6363636363636362,3.45,Red Rock West (1992)
332,374,25,2.2,2.51,Richie Rich (1994)
333,376,40,3.25,3.25,"River Wild, The (1994)"
334,377,171,3.5292397660818713,3.51,Speed (1994)
335,378,7,2.7857142857142856,3.07,Speechless (1994)
336,379,21,2.5,2.75,Timecop (1994)
337,380,178,3.497191011235955,3.48,True Lies (1994)
338,381,11,3.8181818181818183,3.55,When a Man Loves a Woman (1994)
339,382,16,3.15625,3.2,Wolf (1994)
340,383,21,3.0952380952380953,3.15,Wyatt Earp (1994)
341,384,2,3.25,3.26,Bad Company (1995)
342,385,1,4.0,3.33,"Man of No Importance, A (1994)"
343,386,1,3.0,3.24,S.F.W. (1994)
344,387,4,2.375,3.02,"Low Down Dirty Shame, A (1994)"
345,388,2,3.0,3.22,Boys Life (1995)
346,389,2,4.5,3.46,"Colonel Chabert, Le (1994)"
347,390,5,3.7,3.4,Faster Pussycat! Kill! Kill! (1965)
348,391,1,4.5,3.37,Jason's Lyric (1994)
349,393,10,2.5,2.89,Street Fighter (1994)
350,405,12,2.4166666666666665,2.81,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
351,406,1,3.0,3.24,Federal Hill (1994)
352,407,8,3.4375,3.34,In the Mouth of Madness (1995)
353,408,2,3.0,3.22,8 Seconds (1994)
354,409,1,2.0,3.15,Above the Rim (1994)
355,410,84,3.1011904761904763,3.12,Addams Family Values (1993)
356,412,15,3.5,3.4,"Age of Innocence, The (1993)"
357,413,26,2.7884615384615383,2.92,Airheads (1994)
358,414,6,2.3333333333333335,2.92,"Air Up There, The (1994)"
359,415,16,2.53125,2.82,Another Stakeout (1993)
360,416,8,2.5,2.93,Bad Girls (1994)
361,417,13,3.6923076923076925,3.5,Barcelona (1994)
362,418,2,3.0,3.22,Being Human (1993)
363,419,20,2.675,2.88,"Beverly Hillbillies, The (1993)"
364,420,59,2.7203389830508473,2.8,Beverly Hills Cop III (1994)
365,421,12,3.2083333333333335,3.23,Black Beauty (1994)
366,422,5,3.2,3.24,Blink (1994)
367,423,10,2.85,3.06,Blown Away (1994)
368,424,3,1.8333333333333333,2.94,Blue Chips (1994)
369,425,2,3.75,3.34,Blue Sky (1994)
370,426,7,3.142857142857143,3.21,Body Snatchers (1993)
371,427,12,2.5416666666666665,2.88,Boxing Helena (1993)
372,428,18,3.7222222222222223,3.55,"Bronx Tale, A (1993)"
373,429,6,2.0,2.8,Cabin Boy (1994)
374,430,2,3.75,3.34,Calendar Girl (1993)
375,431,42,3.738095238095238,3.64,Carlito's Way (1993)
376,432,55,2.6454545454545455,2.74,City Slickers II: The Legend of Curly's Gold (1994)
377,433,8,2.75,3.04,Clean Slate (1994)
378,434,101,3.0346534653465347,3.06,Cliffhanger (1993)
379,435,63,2.4206349206349205,2.54,Coneheads (1993)
380,436,7,2.5714285714285716,2.98,Color of Night (1994)
381,437,9,2.1666666666666665,2.75,Cops and Robbersons (1994)
382,438,7,2.7142857142857144,3.04,"Cowboy Way, The (1994)"
383,440,76,3.5460526315789473,3.51,Dave (1993)
384,441,42,3.9285714285714284,3.8,Dazed and Confused (1993)
385,442,81,3.0925925925925926,3.11,Demolition Man (1993)
386,444,6,2.3333333333333335,2.92,Even Cowgirls Get the Blues (1993)
387,445,12,3.0,3.12,Fatal Instinct (1993)
388,446,9,3.8333333333333335,3.53,Farewell My Concubine (Ba wang bie ji) (1993)
389,448,8,3.625,3.42,Fearless (1993)
390,449,1,1.0,3.06,Fear of a Black Hat (1994)
391,450,7,3.0,3.16,With Honors (1994)
392,451,1,4.0,3.33,Flesh and Bone (1993)
393,452,3,3.0,3.2,Widows' Peak (1994)
394,453,5,2.8,3.11,For Love or Money (1993)
395,454,101,3.5346534653465347,3.51,"Firm, The (1993)"
396,455,37,2.391891891891892,2.58,Free Willy (1993)
397,456,4,3.75,3.4,Fresh (1994)
398,457,190,3.9921052631578946,3.95,"Fugitive, The (1993)"
399,458,5,2.8,3.11,Geronimo: An American Legend (1993)
400,459,6,2.25,2.89,"Getaway, The (1994)"
401,460,3,2.6666666666666665,3.13,Getting Even with Dad (1994)
402,461,4,2.75,3.12,Go Fish (1994)
403,464,10,2.9,3.08,Hard Target (1993)
404,466,60,2.8666666666666667,2.92,Hot Shots! Part Deux (1993)
405,467,1,5.0,3.42,Live Nude Girls (1995)
406,468,22,3.2045454545454546,3.22,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
407,469,5,3.4,3.31,"House of the Spirits, The (1993)"
408,470,1,1.0,3.06,House Party 3 (1994)
409,471,40,3.55,3.49,"Hudsucker Proxy, The (1994)"
410,472,6,2.5833333333333335,3.01,I'll Do Anything (1994)
411,473,7,1.8571428571428572,2.7,In the Army Now (1994)
412,474,70,3.692857142857143,3.64,In the Line of Fire (1993)
413,475,25,4.3,4.0,In the Name of the Father (1993)
414,476,1,1.0,3.06,"Inkwell, The (1994)"
415,477,17,3.3823529411764706,3.34,What's Love Got to Do with It? (1993)
416,478,1,2.5,3.2,Jimmy Hollywood (1994)
417,479,4,2.25,2.98,Judgment Night (1993)
418,480,238,3.75,3.73,Jurassic Park (1993)
419,481,19,3.1578947368421053,3.19,Kalifornia (1993)
420,482,8,3.625,3.42,Killing Zoe (1994)
421,484,2,3.0,3.22,Lassie (1994)
422,485,53,2.9339622641509435,2.99,Last Action Hero (1993)
423,486,3,3.0,3.2,Life with Mikey (1993)
424,487,4,2.5,3.05,Lightning Jack (1994)
425,488,1,3.0,3.24,M. Butterfly (1993)
426,489,11,2.8636363636363638,3.06,Made in America (1993)
427,490,12,3.0,3.12,Malice (1993)
428,491,17,3.2941176470588234,3.28,"Man Without a Face, The (1993)"
429,492,14,3.75,3.54,Manhattan Murder Mystery (1993)
430,493,12,3.6666666666666665,3.48,Menace II Society (1993)
431,494,41,3.3780487804878048,3.35,Executive Decision (1996)
432,495,1,5.0,3.42,In the Realm of the Senses (Ai no corrida) (1976)
433,496,1,5.0,3.42,What Happened Was... (1994)
434,497,43,3.813953488372093,3.71,Much Ado About Nothing (1993)
435,499,2,2.5,3.14,Mr. Wonderful (1993)
436,500,144,3.388888888888889,3.38,Mrs. Doubtfire (1993)
437,501,6,3.6666666666666665,3.41,Naked (1993)
438,502,15,2.3666666666666667,2.73,"Next Karate Kid, The (1994)"
439,504,2,3.0,3.22,No Escape (1994)
440,505,7,2.2142857142857144,2.84,North (1994)
441,506,2,4.5,3.46,Orlando (1992)
442,507,13,3.3846153846153846,3.33,"Perfect World, A (1993)"
443,508,66,3.6136363636363638,3.57,Philadelphia (1993)
444,509,61,3.540983606557377,3.5,"Piano, The (1993)"
445,510,1,3.0,3.24,Poetic Justice (1993)
446,511,2,3.0,3.22,"Program, The (1993)"
447,512,4,3.0,3.19,"Puppet Masters, The (1994)"
448,513,4,3.375,3.29,Radioland Murders (1994)
449,514,18,3.4166666666666665,3.36,"Ref, The (1994)"
450,515,24,3.6041666666666665,3.5,"Remains of the Day, The (1993)"
451,516,18,3.0555555555555554,3.13,Renaissance Man (1994)
452,517,9,3.2777777777777777,3.27,Rising Sun (1993)
453,518,4,2.375,3.02,"Road to Wellville, The (1994)"
454,519,21,2.4047619047619047,2.69,RoboCop 3 (1993)
455,520,69,3.130434782608696,3.15,Robin Hood: Men in Tights (1993)
456,521,3,3.1666666666666665,3.24,Romeo Is Bleeding (1993)
457,522,7,3.2857142857142856,3.27,Romper Stomper (1992)
